"Getty URI","Artist Name","ULAN Bio","ULAN Scope Note","Also Known As","Type of Artist"
"http://vocab.getty.edu/ulan/500009666","""Picasso, Pablo""","Spanish painter, sculptor, and printmaker, 1881-1973","Long-lived and very influential Spanish artist, active in France. He dominated 20th-century European art. With Georges Braque, he is credited with inventing Cubism.","Pablo Picasso|Picasso, Pablo Diego José Francisco de Paula Juan Nepomuceno Crispín Crispiniano de la Santissima Trinidad Ruiz Blasco|Picasso, Pablo Ruiz|Picasso, Pablo Ruiz y|Ruiz Picasso, Pablo|Ruiz y Picasso, Pablo|Ruiz, Pablo|Ruys Picasso, Pablo|Ruys, Pablo|Ruiz Y Picasso, Pablo|Picasso, Pablo Ruiz Y|Pablo Ruiz Y Picasso","ceramicists|artists|decorative artists|genre artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500253915","""Brown, A. Page""","American architect, 1859-1896","American architect, San Franscisco, CA.","Arthur Page Brown|Brown, A. Page|A. Page Brown|Brown, A. Paige","architects"
"http://vocab.getty.edu/ulan/500267271","""Morse, Aaron""","American architect, 1809-1846","American architect, Concord, New Hampshire.","Aaron Morse","architects"
"http://vocab.getty.edu/ulan/500016067","""Braun, Adolphe""","French photographer, 1811-1877","Braun was associated with the Société Française de Photographie. He opened his first studio in Dornach, Alsace, or in Mulhouse France in 1850 and another studio in Paris in 1868 or 1873 with his son Gaston. They were assisted by Adolphe's son-in-law, Léon Clément . Upon Adolphe Braun's death in 1877, the firm was run by Gaston, his son-in-law Léon Clément and Louis Pierson. At this point the firm may have changed its name to ""Braun, Clément & Cie.""","Adolphe Braun|Braun, Ad.|Braun, Jean Adolphe","artists|photographers"
"http://vocab.getty.edu/ulan/500063702","""Cote, Alan""","American painter, born 1937",,"Alan Cote","artists|painters"
"http://vocab.getty.edu/ulan/500090682","""Scarritt, Alan""","American sculptor, born 1945",,"Alan Scarritt","artists|sculptors"
"http://vocab.getty.edu/ulan/500392971","""Shields, Alan""","artist, active 20th century",,"Alan Shields","artists"
"http://vocab.getty.edu/ulan/500021038","""Shields, Alan""","American painter and printmaker, 1944-2005","He came to prominence in the 1970s with brightly colored and sewn three-dimensional paintings. He constructed handmade books, and was an accomplished watercolorist and printmaker, often using handmade paper.","Shields, Alan J.|Alan J. Shields","artists|designers|painters|sculptors"
"http://vocab.getty.edu/ulan/500012781","""Pope, Alexander""","English philosopher, amateur gardener, 1688-1744","British philosopher and amateur gardener.","Alexander Pope|Pope, Alexander, I|Pope the Poet","amateurs|gardeners|artists|philosophers|garden designers|poets|painters"
"http://vocab.getty.edu/ulan/500010262","""Pope, Alexander""","English painter, engraver, 1763-1835, born in Ireland",,"Alexander Pope|Pope, Alexander II|Alexander II Pope","engravers|artists|painters"
"http://vocab.getty.edu/ulan/500021754","""Pope, Alexander""","American painter, sculptor, 1849-1924","Pope was famous for animal and still life paintings, particularly focusing on the hunt and the birds and other animals sought in the hunt. He briefly studied sculpture, but taught himself to paint. In 1878 and 1882 he published important portfolios of chromolithographs after his watercolors.","Alexander Pope|Pope, Alexander III|Pope, Alexander, Jr.","animal artists|artists|portraitists|painters|sports artists|still life artists|sculptors"
"http://vocab.getty.edu/ulan/500003246","""Smith, Alexis""","American mixed-media and installation artist, born 1949","American artist.","Alexis Smith|Smith, Alexis Patricia Anne","artists|collagists|installation artists|mixed-media artists"
"http://vocab.getty.edu/ulan/500191324","""Young, Alfred""","British artist, born 1936",,"Alfred Young","artists"
"http://vocab.getty.edu/ulan/500085926","""Light, Alvin""","American sculptor, 1931-1980",,"Alvin Light","sculptors"
"http://vocab.getty.edu/ulan/500017726","""Levine, Marilyn""","Canadian and American sculptor, 1935-2005","Known for her realistic sculptures of daily objects, particularly representations of leather objects rendered in ceramic.","Levine, Marilyn Anne|Marilyn Anne Levine|Marilyn Levine|Levine, Marylin Anne","artists|sculptors"
"http://vocab.getty.edu/ulan/500116652","""Mesa-Bains, Amalia""","American sculptor, contemporary",,"Amalia Mesa-Bains","educators|artists|installation artists|sculptors"
"http://vocab.getty.edu/ulan/500329687","""Wulffen, Amelie von""","German painter, born 1966",,"Amelie von Wulffen|von Wulffen, Amelie","artists|painters"
"http://vocab.getty.edu/ulan/500122426","""Cutler, Amy""","American painter and draftsman, born 1974","Cutler's shrewd yet humorous paintings have a surreal, fairy tale-like ambiance, her inspiration coming from Persian miniatures, military manuals, horseback riding books, and Japanese woodblocks. Her work often investigates current events she has read about as well as domestic stereotypes.","Amy Cutler","artists|painters"
"http://vocab.getty.edu/ulan/500115963","""Hamilton, Ann""","American photographer and installation artist, born 1956","American artist.","Ann Hamilton","artists|installation artists|photographers|sculptors|video artists"
"http://vocab.getty.edu/ulan/500026074","""McCoy, Ann""","American painter, born 1946","American artist, Penn.","Ann McCoy|McCoy, Ann Brelsford|Mccoy, Ann|Ann Mccoy|Ann Brelsford McCoy","artists|painters"
"http://vocab.getty.edu/ulan/500019252","""Poirier, Anne""","French sculptor, born 1942","French artist.","Anne Poirier|Houllevigue, Anne|Poirier, A.","artists|sculptors"
"http://vocab.getty.edu/ulan/500006732","""Poirier, Patrick""","French sculptor, born 1941","French artist.","Patrick Poirier|Poirier, P.","artists|sculptors"
"http://vocab.getty.edu/ulan/500015067","""Okamura, Arthur""","American painter, born 1932",,"Arthur Okamura","artists|landscapists|painters"
"http://vocab.getty.edu/ulan/500379677","""Howard, Barbara""","artist, active 20th century",,"Barbara Howard","artists"
"http://vocab.getty.edu/ulan/500008240","""Maybeck, Bernard Ralph""","American architect and artist, 1862-1957","Born 7 February 1862; died 3 October 1957. ","Bernard Maybeck|Maybeck, Bernard R.|Bernard R. Maybeck|Maybeck, Bernard-Ralph|Maybeck, Bernard Ralph","architects|artists"
"http://vocab.getty.edu/ulan/500073916","""Margolies, John""","American video artist and photographer, 1940-2016","Considered the foremost photographer of American vernacular architecture: mid-20th century roadside buildings in the shape of animals or objects. Margolies began documenting these structures in the 1970s and continued for over 30 years. He also acted as an editor at Architectural Record magazine and program director at the Architectural League of New York. Many books of his photographs have been published. In the 1970s he co-founded the collective Telethon, which was dedicated to documenting the broadcast television environment.","John Margolies|Margolies, John S.|Margolies, John Samuel","directors|artists|editors|photographers|video artists"
"http://vocab.getty.edu/ulan/500118786","""Marden, Brice""","American painter and printmaker, born 1938","Early in his career, Marden was a proponent of Minimalism. He continues to explore different spiritual or emotional states through color and form.","Brice Marden","artists|painters"
"http://vocab.getty.edu/ulan/500116235","""Conner, Bruce""","American assemblage artist and filmmaker, 1933-2008","American artist active in San Francisco was first known for his assemblages made of discarded and seemingly decaying objects. He studied at Wichita University and the University of Nebraska, Lincoln where he received a BFA 1956. He also studied at Brooklyn Art School, and the University of Colorado. He was a prolific filmmaker, and was a pioneer in the use of ""found footage."" Most of his films are constructed from images shot by others and cut to new soundtracks, including popular or underground music. His film ""Crossroads"" was made entirely with official footage shot of a hydrogen bomb test in the Bikini Atoll set to a soundtrack by Terry Riley. Many of his films are considered precursors to what would become the music video genre. In the 1960s, Conner began making highly detailed ink drawings, referred to as the Mandala Series. In the 1970s and 1980s, concurrent with his filmmaking, he would create two-dimensional collages from 18th and 19th century etchings. He created large-scale photograms of human figures, and a series of black and white photographs documenting underground music in San Francisco during the late 1970s. His later work often incorporated obsessively created inkblots on paper, made with an accordion fold technique.","Bruce Conner|Conner, Bruce G.|Conner, Bruce Guldner|Feather, Emily|Bruce G. Conner","assemblage artists|artists|collagists|mixed-media artists|photographers|sculptors"
"http://vocab.getty.edu/ulan/500352383","""Gutierrez-Solana, Carlos""","artist",,"Carlos Gutierrez-Solana","miscellaneous"
"http://vocab.getty.edu/ulan/500194723","""Mattox, Charles""","American sculptor, born 1910",,"Charles Mattox","artists|sculptors"
"http://vocab.getty.edu/ulan/500110362","""Raciti, Cherie""","American painter and sculptor, born 1942",,"Cherie Raciti","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500023897","""Carter, Christopher""","English landscape architect","English landscape architect, Oxfordshire.","Christopher Carter","landscape architects"
"http://vocab.getty.edu/ulan/500026033","""Carter, Christopher""","British painter, active 17th century",,"Christopher Carter","artists|painters"
"http://vocab.getty.edu/ulan/500031023","""Close, Chuck""","American painter and printmaker, born 1940","American painter and printmaker, known as one of the leading members of the Photorealist movement of the 1960s and 1970s. He is best known for his large portraits of himself and his friends taken from photographs and painstakingly rendered on canvas.","Chuck Close|Close, Charles Thomas","artists|painters"
"http://vocab.getty.edu/ulan/500059148","""Viallat, Claude""","French painter, born 1936",,"Claude Viallat","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500331638","""Darke, Colin""","British artist, born 1957",,"Colin Darke","artists"
"http://vocab.getty.edu/ulan/500122615","""Robleto, Dario""","American sculptor and assemblage artist, born 1972",,"Dario Robleto","assemblage artists|artists|sculptors"
"http://vocab.getty.edu/ulan/500069592","""Sapien, Darryl""","American performance artist, born 1950",,"Darryl Sapien","artists|miscellaneous|performance artists"
